project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Highways,Madhya Pradesh,Gwalior,23.04,38,0.51,0.81,0,0.66,0.41,0.7,0.15,0.83,135,0.17,1,174
Urban Infrastructure,Maharashtra,Pune,27.7,15,0.89,0.43,1,0.95,0.77,0.78,0.11,0.66,164,0.55,0,0
Water Resources,Odisha,Jharsuguda,6.76,32,0.4,0.7,0,0.69,0.91,0.88,0.92,0.85,183,0.32,0,0
Railways,Rajasthan,Kota,29.83,38,0.72,0.72,1,0.7,0.29,0.11,0.35,0.5,94,0.27,1,234
Highways,Karnataka,Belagavi,11.99,35,0.36,0.98,0,0.99,0.85,0.9,0.81,0.24,190,0.62,0,0
Water Resources,Bihar,Muzaffarpur,27.8,62,0.1,0.31,0,0.24,0.22,0.29,0.68,0.7,179,0.61,1,201
Water Resources,Uttar Pradesh,Varanasi,19.88,39,0.42,0.35,0,0.13,0.31,0.92,0.59,0.77,122,0.31,1,196
Mining,Karnataka,Bengaluru Urban,16.42,28,0.73,0.32,0,0.77,0.61,0.34,0.67,0.25,261,0.13,0,0
Mining,Bihar,Bhagalpur,85.64,111,0.23,0.66,0,0.49,0.38,0.51,0.13,0.78,117,0.15,1,191
Railways,Rajasthan,Jaipur,11.93,35,0.53,0.31,1,0.49,0.14,0.94,0.42,0.68,193,0.12,1,312
Urban Infrastructure,Rajasthan,Bhilwara,15.33,29,0.28,0.71,0,0.3,0.37,0.2,0.6,0.29,172,0.46,1,262
Mining,Uttar Pradesh,Lucknow,18.94,39,0.16,0.83,0,0.56,0.91,0.77,0.83,0.6,141,0.38,0,0
Mining,Uttar Pradesh,Lucknow,22.54,25,0.62,0.54,0,0.5,0.26,0.45,0.69,0.28,164,0.38,1,214
Urban Infrastructure,Rajasthan,Udaipur,16.42,38,0.91,0.64,0,0.41,0.79,0.12,0.28,0.44,184,0.11,0,0
Highways,Bihar,Bhagalpur,24.85,29,0.36,0.91,1,0.5,0.75,0.95,0.94,0.8,288,0.53,0,0
Mining,Maharashtra,Pune,42.17,58,0.59,0.64,0,0.45,0.2,0.21,0.63,0.28,94,0.37,0,0
Solar Parks,West Bengal,Howrah,56.59,65,0.91,0.36,0,0.95,0.4,0.8,0.5,0.54,38,0.1,0,0
Industrial Corridors,Gujarat,Surat,54.44,63,0.65,0.47,1,0.98,0.27,0.45,0.75,0.65,114,0.5,0,0
Industrial Corridors,Karnataka,Belagavi,7.2,36,0.67,0.61,0,0.86,0.12,0.83,0.59,0.91,158,0.64,0,0
Mining,Madhya Pradesh,Jabalpur,44.89,72,0.25,0.32,0,0.99,0.26,0.78,0.69,0.75,189,0.31,0,0
Highways,Karnataka,Belagavi,47.16,90,0.52,0.68,1,0.34,0.28,0.67,0.61,0.3,164,0.12,1,240
Water Resources,Madhya Pradesh,Indore,19.49,42,0.41,0.98,0,0.86,0.25,0.95,0.21,0.93,153,0.11,0,0
Highways,Bihar,Patna,125.73,71,0.5,0.71,1,0.47,0.18,0.19,0.54,0.56,229,0.07,1,292
Railways,Madhya Pradesh,Bhopal,79.05,100,0.78,0.49,1,0.77,0.57,0.82,0.3,0.48,124,0.51,1,260
Solar Parks,Uttar Pradesh,Gorakhpur,28.6,65,0.49,0.46,0,0.28,0.39,0.7,0.56,0.3,234,0.47,0,0
Highways,West Bengal,Murshidabad,20.56,42,0.15,0.93,0,0.83,0.92,0.38,0.16,0.9,187,0.4,1,124
Urban Infrastructure,West Bengal,Murshidabad,124.11,194,0.87,0.88,1,0.18,0.27,0.59,0.26,0.64,227,0.51,1,260
Solar Parks,Uttar Pradesh,Varanasi,32.62,44,0.56,0.57,0,0.34,0.64,0.68,0.78,0.94,117,0.65,0,0
Industrial Corridors,Odisha,Angul,35.45,19,0.89,0.48,1,0.84,0.91,0.76,0.41,0.33,144,0.29,0,0
Solar Parks,Bihar,Darbhanga,35.09,34,0.59,0.75,0,0.77,0.14,0.27,0.66,0.61,94,0.47,1,171
Urban Infrastructure,Odisha,Bhubaneswar,209.03,336,0.16,0.45,0,0.55,0.56,0.19,0.5,0.28,173,0.28,0,0
Mining,Odisha,Jharsuguda,27.85,42,0.57,0.29,0,0.71,0.51,0.19,0.36,0.59,174,0.26,0,0
Urban Infrastructure,Karnataka,Bengaluru Urban,32.5,70,0.59,0.44,1,0.27,0.94,0.36,0.5,0.87,250,0.56,1,255
Urban Infrastructure,Rajasthan,Udaipur,17.03,26,0.28,0.54,0,0.7,0.7,0.24,0.78,0.28,163,0.39,0,0
Mining,Karnataka,Belagavi,24.25,37,0.5,0.4,1,0.11,0.41,0.58,0.3,0.4,91,0.12,1,312
Mining,Rajasthan,Udaipur,14.51,11,0.49,0.37,0,0.85,0.74,0.49,0.43,0.71,202,0.29,0,0
Mining,Gujarat,Ahmedabad,17.31,32,0.63,0.2,1,0.56,0.62,0.9,0.23,0.26,118,0.53,1,288
Mining,Madhya Pradesh,Ujjain,7.78,17,0.32,0.69,0,0.95,0.41,0.75,0.37,0.54,102,0.61,1,163
Mining,Rajasthan,Udaipur,67.04,55,0.59,0.68,0,0.53,0.81,0.29,0.85,0.45,191,0.42,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,37.54,58,0.3,0.35,1,0.49,0.7,0.14,0.76,0.83,125,0.29,1,228
Railways,Karnataka,Belagavi,40.1,82,0.48,0.94,0,0.51,0.1,0.74,0.39,0.24,133,0.2,0,0
Railways,Bihar,Bhagalpur,31.75,40,0.2,0.52,1,0.42,0.88,0.86,0.17,0.85,223,0.3,1,227
Highways,Madhya Pradesh,Jabalpur,35.07,38,0.13,0.22,0,0.25,0.46,0.73,0.43,0.73,183,0.39,1,173
Railways,Gujarat,Ahmedabad,120.94,65,0.37,0.37,0,0.86,0.68,0.68,0.74,0.42,186,0.05,1,157
Industrial Corridors,Rajasthan,Udaipur,17.9,45,0.33,0.74,0,0.45,0.46,0.32,0.09,0.35,98,0.21,1,246
Railways,Gujarat,Rajkot,41.38,54,0.45,0.36,1,0.58,0.89,0.55,0.72,0.91,191,0.45,1,237
Urban Infrastructure,Bihar,Gaya,41.2,57,0.92,0.24,1,0.12,0.69,0.75,0.66,0.62,147,0.45,1,385
Mining,Odisha,Angul,82.57,154,0.54,0.68,1,0.15,0.62,0.27,0.11,0.46,140,0.44,1,270
Mining,West Bengal,Howrah,47.04,64,0.57,0.6,1,0.64,0.98,0.53,0.62,0.23,178,0.62,1,224
Water Resources,Bihar,Bhagalpur,48.97,76,0.9,0.79,1,0.89,0.35,0.21,0.32,0.32,160,0.39,1,296
Water Resources,Tamil Nadu,Salem,12.1,35,0.88,0.8,0,0.54,0.16,0.58,0.21,0.65,94,0.21,1,178
Water Resources,Bihar,Gaya,17.34,50,0.85,0.95,0,0.25,0.56,0.62,0.4,0.58,202,0.54,0,0
Urban Infrastructure,Gujarat,Ahmedabad,13.02,35,0.18,0.24,0,0.2,0.48,0.58,0.23,0.77,207,0.28,0,0
Industrial Corridors,Uttar Pradesh,Kanpur,4.57,27,0.64,0.23,0,0.91,0.51,0.52,0.79,0.83,133,0.19,0,0
Railways,Karnataka,Ballari,45.5,65,0.79,0.97,0,0.73,0.66,0.63,0.72,0.5,187,0.38,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,26.86,47,0.81,0.7,0,0.97,0.65,1.0,0.93,0.28,201,0.22,0,0
Highways,Gujarat,Kutch,45.57,71,0.59,0.76,0,0.17,0.45,0.66,0.53,0.79,75,0.29,0,0
Mining,Karnataka,Ballari,34.07,49,0.11,0.28,0,0.91,0.88,0.78,0.13,0.62,136,0.47,0,0
Water Resources,Tamil Nadu,Coimbatore,40.14,75,0.93,0.25,0,0.86,0.69,0.27,0.38,0.93,62,0.65,1,385
Solar Parks,West Bengal,North 24 Parganas,96.59,170,0.5,0.32,0,0.9,0.9,0.58,0.8,0.8,188,0.44,0,0
Highways,Madhya Pradesh,Indore,33.31,42,0.43,0.53,0,0.11,0.92,0.11,0.41,0.45,180,0.22,0,0
Water Resources,Gujarat,Rajkot,56.55,47,0.44,0.29,0,0.77,0.25,0.13,0.46,0.52,130,0.1,1,193
Industrial Corridors,Rajasthan,Kota,26.0,36,0.46,0.55,0,0.59,0.71,0.39,0.42,0.38,153,0.27,1,196
Highways,Gujarat,Vadodara,64.06,92,0.31,0.64,0,0.62,0.39,0.52,0.26,0.58,143,0.06,1,252
Urban Infrastructure,Gujarat,Surat,12.28,20,0.38,0.2,0,0.52,0.85,0.62,0.12,0.73,68,0.33,0,0
Railways,Karnataka,Ballari,7.61,22,0.94,0.29,1,0.77,0.76,0.9,0.21,0.66,218,0.45,1,248
Mining,Maharashtra,Nashik,178.63,96,0.41,0.49,0,1.0,0.28,0.79,0.38,0.46,171,0.36,1,174
Industrial Corridors,Bihar,Muzaffarpur,143.89,133,0.55,0.24,0,0.74,0.94,0.37,0.27,0.82,153,0.57,0,0
Industrial Corridors,Maharashtra,Thane,6.98,27,0.82,0.3,1,0.71,0.72,0.77,0.57,0.28,153,0.35,1,240
Solar Parks,Tamil Nadu,Kanchipuram,32.17,37,0.55,0.38,0,0.69,0.95,0.59,0.6,0.31,191,0.33,0,0
Highways,Rajasthan,Jodhpur,37.34,51,0.38,0.54,0,0.73,0.28,0.8,0.56,0.5,88,0.24,0,0
Solar Parks,West Bengal,Paschim Bardhaman,59.05,37,0.55,0.76,1,0.41,0.88,0.47,0.13,0.73,120,0.55,1,226
Railways,Odisha,Jharsuguda,133.14,79,0.2,0.3,0,0.39,0.7,0.18,0.65,0.72,169,0.59,0,0
Water Resources,Tamil Nadu,Salem,14.17,39,0.21,0.78,0,0.81,0.6,0.66,0.4,0.47,210,0.64,0,0
Railways,Odisha,Sundargarh,14.79,39,0.69,0.87,0,0.15,0.84,0.6,0.84,0.72,51,0.64,0,0
Water Resources,Odisha,Cuttack,33.08,27,0.88,0.71,0,0.78,0.67,0.96,0.52,0.25,204,0.64,1,190
Solar Parks,West Bengal,Hooghly,15.32,25,0.72,0.23,0,0.83,0.7,0.25,0.13,0.42,128,0.48,1,277
Mining,Uttar Pradesh,Kanpur,3.78,5,0.16,0.54,0,0.57,0.33,0.69,0.06,0.72,147,0.39,0,0
Railways,Maharashtra,Pune,27.61,33,0.44,0.71,0,0.92,0.84,0.53,0.68,0.34,161,0.15,1,151
Solar Parks,Gujarat,Rajkot,65.76,48,0.1,0.96,0,0.53,0.69,0.44,0.41,0.36,110,0.51,0,0
Highways,Madhya Pradesh,Ujjain,32.58,26,0.53,0.94,1,0.26,0.86,0.82,0.31,0.27,104,0.49,1,215
Solar Parks,Odisha,Jharsuguda,54.56,32,0.26,0.51,0,0.43,0.42,0.83,0.45,0.47,169,0.56,0,0
Solar Parks,Rajasthan,Jodhpur,48.66,73,0.84,0.68,0,0.92,0.4,0.74,0.12,0.82,245,0.33,0,0
Urban Infrastructure,Tamil Nadu,Madurai,14.56,47,0.19,0.89,0,0.99,0.12,0.18,0.4,0.83,117,0.59,0,0
Railways,Uttar Pradesh,Varanasi,34.97,56,0.1,0.85,1,0.48,0.79,0.41,0.33,0.85,117,0.48,0,0
Mining,Odisha,Sundargarh,9.78,34,0.48,0.57,1,0.25,0.4,0.14,0.77,0.23,104,0.15,1,235
Mining,Uttar Pradesh,Lucknow,21.99,43,0.23,0.4,0,0.36,0.39,0.41,0.21,0.95,149,0.17,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,34.48,53,0.73,0.31,0,0.6,0.72,0.68,0.73,0.58,115,0.54,1,247
Water Resources,Odisha,Cuttack,33.08,35,0.88,0.58,0,0.61,0.33,0.57,0.5,0.85,116,0.31,0,0
Industrial Corridors,Karnataka,Mysuru,11.79,30,0.14,0.76,0,0.67,0.92,0.73,0.12,0.88,169,0.2,0,0
Water Resources,Bihar,Muzaffarpur,13.86,23,0.44,0.96,1,0.85,0.58,0.6,0.92,0.59,94,0.3,0,0
Mining,Rajasthan,Udaipur,41.79,85,0.95,0.87,0,0.74,0.97,0.6,0.71,0.24,233,0.15,0,0
Solar Parks,Gujarat,Kutch,64.19,63,0.72,0.36,0,0.33,0.17,0.56,0.28,0.65,107,0.59,0,0
Urban Infrastructure,Gujarat,Vadodara,28.06,55,0.91,0.76,0,0.46,0.4,0.43,0.57,0.45,210,0.09,1,230
Highways,Rajasthan,Jodhpur,26.96,51,0.24,0.43,0,0.86,0.44,0.5,0.86,0.36,248,0.26,0,0
Railways,Karnataka,Belagavi,69.76,77,0.29,0.73,0,0.67,0.76,0.2,0.89,0.34,213,0.38,1,150
Railways,Gujarat,Ahmedabad,17.86,21,0.23,0.72,1,0.25,0.29,0.85,0.71,0.62,208,0.57,1,257
Railways,Uttar Pradesh,Kanpur,131.84,189,0.36,0.41,0,0.39,0.44,0.9,0.7,0.28,195,0.52,1,203
Solar Parks,West Bengal,Hooghly,11.29,41,0.72,0.38,0,0.81,0.92,0.79,0.3,0.82,169,0.06,0,0
Highways,Tamil Nadu,Kanchipuram,76.62,128,0.24,0.28,0,0.25,0.2,0.63,0.94,0.37,213,0.55,1,236
Urban Infrastructure,Maharashtra,Aurangabad,50.97,47,0.55,0.24,0,0.72,0.77,0.61,0.27,0.61,148,0.43,0,0
Urban Infrastructure,Gujarat,Rajkot,227.72,127,0.33,0.87,0,0.61,0.73,0.52,0.13,0.29,198,0.13,1,181
Railways,Rajasthan,Jodhpur,13.51,22,0.8,0.24,1,0.23,0.22,0.31,0.93,0.84,209,0.42,1,251
Highways,West Bengal,Paschim Bardhaman,5.12,29,0.11,0.27,0,0.72,0.72,0.45,0.19,0.72,182,0.54,1,181
Highways,Odisha,Sundargarh,89.98,107,0.29,0.39,1,0.23,0.61,0.99,0.52,0.35,147,0.41,1,221
Highways,Bihar,Bhagalpur,10.21,37,0.61,0.89,0,0.46,0.36,0.23,0.47,0.74,181,0.65,0,0
Mining,Rajasthan,Kota,54.2,78,0.18,0.46,0,0.38,0.38,0.59,0.81,0.26,143,0.35,1,177
Mining,Uttar Pradesh,Agra,85.26,88,0.5,0.35,0,0.72,0.85,0.88,0.41,0.78,135,0.45,0,0
Railways,Bihar,Patna,44.87,22,0.47,0.76,0,0.8,0.31,0.51,0.5,0.57,195,0.09,1,150
Highways,Tamil Nadu,Kanchipuram,39.87,19,0.82,0.45,1,0.25,0.56,0.65,0.09,0.29,166,0.54,1,271
Industrial Corridors,Tamil Nadu,Coimbatore,45.64,85,0.63,0.46,1,0.83,0.71,0.85,0.24,0.61,194,0.42,1,301
Highways,Karnataka,Belagavi,64.71,130,0.64,0.78,0,0.11,0.22,0.59,0.8,0.35,166,0.39,0,0
Urban Infrastructure,Madhya Pradesh,Bhopal,52.97,81,0.91,0.4,0,0.58,0.94,0.76,0.48,0.7,182,0.48,1,206
Urban Infrastructure,Karnataka,Dakshina Kannada,12.51,40,0.94,0.9,0,0.57,0.33,0.41,0.26,0.73,222,0.39,0,0
Railways,West Bengal,North 24 Parganas,142.59,55,0.66,0.64,1,0.66,0.39,0.76,0.38,0.77,152,0.51,1,231
Industrial Corridors,Bihar,Bhagalpur,34.5,66,0.54,0.62,0,0.32,0.7,0.14,0.31,0.87,141,0.4,1,248
Highways,Madhya Pradesh,Indore,50.13,92,0.62,0.41,0,0.11,0.17,0.24,0.55,0.69,179,0.36,1,216
Water Resources,Odisha,Cuttack,58.49,68,0.43,0.85,0,0.51,0.66,0.67,0.1,0.57,43,0.13,1,146
Industrial Corridors,Uttar Pradesh,Gorakhpur,83.49,57,0.94,0.65,1,0.16,0.92,0.5,0.25,0.84,191,0.33,0,0
Railways,Bihar,Darbhanga,76.84,91,0.7,0.32,0,0.9,0.32,0.85,0.37,0.87,121,0.37,0,0
Urban Infrastructure,Karnataka,Bengaluru Urban,36.8,63,0.35,0.36,1,0.26,0.43,0.41,0.89,0.79,235,0.42,1,249
Water Resources,Maharashtra,Thane,34.95,58,0.15,0.57,0,0.48,0.31,0.79,0.61,0.91,195,0.32,0,0
Urban Infrastructure,Madhya Pradesh,Ujjain,45.92,82,0.14,0.81,0,0.49,0.84,0.23,0.5,0.93,201,0.14,0,0
Mining,Madhya Pradesh,Bhopal,79.84,50,0.27,0.93,0,0.6,0.25,0.94,0.22,0.39,202,0.14,1,154
Railways,Uttar Pradesh,Varanasi,13.6,32,0.3,0.72,0,0.8,0.41,0.48,0.55,0.34,139,0.48,0,0
Railways,Gujarat,Rajkot,55.44,33,0.45,0.59,1,0.52,0.64,0.31,0.89,0.54,148,0.45,1,216
Highways,Tamil Nadu,Kanchipuram,16.3,43,0.28,0.4,0,0.12,0.46,0.81,0.56,0.95,83,0.21,0,0
Highways,Tamil Nadu,Tiruchirappalli,145.62,184,0.64,0.72,1,0.79,0.16,0.95,0.2,0.27,227,0.32,1,359
Mining,Maharashtra,Pune,44.43,91,0.28,0.97,0,0.17,0.95,0.93,0.95,0.73,102,0.23,0,0
Water Resources,West Bengal,Paschim Bardhaman,23.74,14,0.26,0.57,1,0.68,0.4,0.31,0.5,0.84,159,0.16,1,243
Solar Parks,West Bengal,Murshidabad,46.66,89,0.5,0.33,1,0.82,0.5,0.7,0.34,0.95,215,0.25,1,303
Industrial Corridors,Odisha,Jharsuguda,33.36,80,0.86,0.28,1,0.35,0.25,0.59,0.5,0.66,229,0.21,0,0
Solar Parks,Bihar,Muzaffarpur,29.13,21,0.5,0.41,0,0.5,0.88,0.75,0.29,0.49,148,0.1,0,0
Solar Parks,Rajasthan,Kota,7.79,23,0.45,0.64,0,0.11,0.36,0.54,0.08,0.32,83,0.35,1,213
Railways,Gujarat,Rajkot,14.59,12,0.59,0.94,0,0.82,0.12,0.52,0.85,0.94,170,0.32,0,0
Industrial Corridors,Karnataka,Belagavi,29.6,29,0.32,0.43,0,0.73,0.38,0.89,0.44,0.89,174,0.48,0,0
Railways,Rajasthan,Jodhpur,8.58,6,0.4,0.44,0,0.31,0.99,0.88,0.73,0.8,179,0.42,1,220
Industrial Corridors,Rajasthan,Bhilwara,20.7,37,0.28,0.58,0,0.45,0.23,0.81,0.92,0.91,146,0.26,0,0
Urban Infrastructure,Madhya Pradesh,Gwalior,22.2,50,0.59,0.92,0,0.73,0.13,0.73,0.62,0.25,153,0.35,1,165
Railways,Maharashtra,Nashik,17.75,14,0.69,0.53,1,0.42,0.62,0.71,0.67,0.67,128,0.37,1,213
Railways,Tamil Nadu,Madurai,61.43,96,0.67,0.37,0,0.25,0.43,0.15,0.9,0.41,167,0.6,1,226
Railways,Odisha,Sundargarh,16.38,34,0.32,0.33,0,0.57,0.82,0.77,0.51,0.77,196,0.64,1,240
Water Resources,West Bengal,Paschim Bardhaman,35.54,66,0.76,0.56,1,0.75,0.76,0.67,0.34,0.27,171,0.54,1,271
Mining,Maharashtra,Pune,24.96,42,0.32,0.82,1,0.39,0.27,0.37,0.88,0.39,158,0.39,1,450
Railways,Madhya Pradesh,Gwalior,30.11,46,0.23,0.43,1,0.21,0.61,0.84,0.11,0.84,210,0.61,1,325
Highways,Karnataka,Bengaluru Urban,119.72,172,0.4,0.6,0,0.85,0.13,0.85,0.24,0.76,171,0.16,0,0
Highways,Odisha,Bhubaneswar,38.23,24,0.61,0.67,1,0.33,0.5,0.94,0.36,0.94,161,0.47,1,212
Industrial Corridors,Madhya Pradesh,Ujjain,44.63,68,0.22,0.55,0,0.56,0.74,0.48,0.75,0.68,163,0.33,0,0
Urban Infrastructure,Tamil Nadu,Tiruchirappalli,17.95,45,0.65,0.35,1,0.72,0.47,0.6,0.86,0.43,105,0.14,1,248
Mining,Tamil Nadu,Coimbatore,54.65,59,0.83,0.92,1,0.39,0.21,0.92,0.46,0.61,110,0.1,1,307
Water Resources,Tamil Nadu,Tiruchirappalli,52.84,117,0.35,0.64,1,0.68,0.16,0.39,0.31,0.91,154,0.34,1,240
Industrial Corridors,Maharashtra,Aurangabad,48.92,30,0.48,0.77,1,0.51,0.87,0.82,0.37,0.69,126,0.19,0,0
Highways,Maharashtra,Aurangabad,12.59,33,0.29,0.7,1,0.61,0.9,0.99,0.64,0.86,157,0.2,1,192
Mining,West Bengal,Howrah,20.73,30,0.41,0.98,0,0.63,0.41,0.69,0.19,0.22,198,0.24,1,163
Mining,West Bengal,Murshidabad,104.26,42,0.12,0.56,0,0.84,0.25,0.99,0.54,0.48,191,0.48,1,205
Urban Infrastructure,Karnataka,Dakshina Kannada,19.1,40,0.91,0.53,0,0.69,0.98,0.56,0.58,0.9,177,0.15,1,170
Mining,Odisha,Angul,116.28,185,0.45,0.48,1,0.34,0.59,0.24,0.69,0.23,198,0.48,1,248
Railways,Uttar Pradesh,Lucknow,21.39,49,0.77,0.48,0,0.15,0.53,0.26,0.59,0.59,206,0.52,1,271
Mining,Uttar Pradesh,Kanpur,37.28,51,0.22,0.42,0,0.1,0.77,0.76,0.14,0.46,204,0.41,1,239
Urban Infrastructure,Madhya Pradesh,Bhopal,28.51,29,0.79,0.96,1,0.91,0.25,0.1,0.67,0.68,203,0.2,1,233
Industrial Corridors,Tamil Nadu,Kanchipuram,16.85,45,0.83,0.88,0,0.95,0.62,0.7,0.07,0.32,106,0.08,0,0
Urban Infrastructure,Odisha,Cuttack,17.04,46,0.71,0.45,1,0.18,0.9,0.24,0.4,0.69,74,0.29,1,250
Water Resources,Rajasthan,Udaipur,18.85,50,0.87,0.44,0,0.54,0.12,0.99,0.43,0.94,124,0.56,1,199
Urban Infrastructure,Maharashtra,Nashik,37.28,30,0.24,0.28,0,0.24,0.71,0.25,0.15,0.4,139,0.11,1,196
Highways,Bihar,Bhagalpur,67.51,92,0.51,0.88,0,0.95,0.6,0.6,0.06,0.55,201,0.5,1,163
Railways,Gujarat,Rajkot,35.39,76,0.63,0.49,0,0.32,0.96,0.7,0.11,0.22,155,0.33,0,0
Highways,Karnataka,Ballari,32.24,63,0.61,0.65,1,0.55,0.33,0.84,0.45,0.53,138,0.59,1,242
Industrial Corridors,Tamil Nadu,Coimbatore,87.21,123,0.83,0.9,0,0.25,0.87,0.51,0.27,0.5,167,0.26,1,240
Solar Parks,Tamil Nadu,Tiruchirappalli,34.23,33,0.28,0.52,0,0.4,0.38,0.94,0.11,0.62,184,0.47,0,0
Industrial Corridors,Tamil Nadu,Madurai,21.45,28,0.25,0.83,0,0.34,0.49,0.53,0.28,0.39,194,0.49,1,172
Railways,Maharashtra,Aurangabad,14.91,32,0.32,0.54,0,0.53,0.29,0.33,0.53,0.45,141,0.17,0,0
Mining,Maharashtra,Aurangabad,91.5,113,0.86,0.75,0,0.48,0.88,0.63,0.72,0.66,116,0.14,1,142
Urban Infrastructure,Gujarat,Rajkot,25.44,52,0.9,0.54,0,0.4,0.28,0.69,0.42,0.88,124,0.11,1,196
Solar Parks,Rajasthan,Jodhpur,20.85,34,0.58,0.51,0,0.2,0.87,0.56,0.6,0.38,165,0.47,1,264
Railways,Odisha,Jharsuguda,19.45,34,0.53,0.97,1,0.54,0.51,0.76,0.59,0.71,112,0.38,0,0
Highways,Tamil Nadu,Coimbatore,87.47,81,0.61,0.68,1,0.87,0.85,0.48,0.86,0.59,202,0.1,1,205
Urban Infrastructure,Uttar Pradesh,Gorakhpur,20.94,37,0.62,0.49,1,0.76,0.34,0.1,0.21,0.28,113,0.24,1,250
Industrial Corridors,West Bengal,Paschim Bardhaman,73.14,66,0.24,0.4,0,0.75,0.22,0.34,0.48,0.62,89,0.14,0,0
Highways,Uttar Pradesh,Agra,27.54,33,0.68,0.23,1,0.43,0.6,0.95,0.62,0.73,166,0.11,1,212
Railways,Madhya Pradesh,Indore,12.59,25,0.48,0.75,0,0.74,0.56,0.79,0.52,0.65,147,0.23,0,0
Railways,Uttar Pradesh,Agra,25.38,44,0.54,0.49,1,0.52,0.42,0.27,0.46,0.28,181,0.11,1,239
Industrial Corridors,Madhya Pradesh,Indore,32.26,43,0.13,0.84,0,0.24,0.7,0.16,0.93,0.84,137,0.21,1,139
Solar Parks,Bihar,Darbhanga,30.2,31,0.75,0.48,1,0.48,0.19,0.42,0.9,0.23,178,0.38,1,285
Industrial Corridors,West Bengal,North 24 Parganas,29.61,45,0.81,0.49,0,0.22,0.66,0.85,0.6,0.38,205,0.39,0,0
Mining,Uttar Pradesh,Lucknow,25.6,36,0.63,0.81,1,0.2,0.29,0.2,0.45,0.66,131,0.15,1,235
Highways,Bihar,Patna,17.67,49,0.74,0.58,0,0.12,0.22,0.59,0.73,0.36,183,0.16,1,200
Solar Parks,Karnataka,Mysuru,33.4,46,0.54,0.89,0,0.35,0.92,0.35,0.51,0.28,240,0.56,0,0
Urban Infrastructure,Odisha,Sundargarh,51.05,80,0.63,0.66,0,0.4,0.51,0.75,0.95,0.58,194,0.15,1,164
Water Resources,Bihar,Darbhanga,10.28,15,0.44,0.39,1,0.73,0.79,0.1,0.67,0.74,124,0.08,1,224
Mining,Odisha,Jharsuguda,93.62,178,0.77,0.64,0,0.58,0.18,0.35,0.11,0.51,175,0.2,1,209
Solar Parks,Uttar Pradesh,Kanpur,2.0,27,0.5,0.2,0,0.87,0.15,0.71,0.41,0.72,101,0.4,0,0
Water Resources,Rajasthan,Bhilwara,35.17,39,0.68,0.44,1,0.26,0.55,0.59,0.71,0.85,107,0.05,1,226
Water Resources,Bihar,Patna,48.08,56,0.63,0.36,0,0.34,0.38,0.8,0.81,0.92,227,0.64,0,0
Highways,West Bengal,North 24 Parganas,20.44,39,0.7,0.71,0,0.95,0.1,0.24,0.78,0.37,178,0.19,1,222
Railways,Uttar Pradesh,Varanasi,6.05,12,0.77,0.31,0,0.5,0.26,0.58,0.93,0.65,229,0.19,1,209
Urban Infrastructure,Tamil Nadu,Tiruchirappalli,30.65,43,0.54,0.43,1,0.81,0.3,0.28,0.49,0.4,179,0.49,1,260
Industrial Corridors,Maharashtra,Pune,37.93,74,0.79,0.46,0,0.54,0.36,0.68,0.18,0.85,135,0.2,1,212
Highways,Bihar,Patna,13.21,29,0.52,0.2,0,0.52,0.89,0.22,0.64,0.87,161,0.29,0,0
Mining,West Bengal,Murshidabad,17.05,30,0.91,0.24,1,0.23,0.48,0.23,0.11,0.44,172,0.38,1,343
Water Resources,Karnataka,Belagavi,71.53,46,0.74,0.44,0,0.87,0.71,0.4,0.93,0.68,259,0.06,0,0
Mining,Tamil Nadu,Tiruchirappalli,36.38,48,0.25,0.37,0,0.17,0.12,0.46,0.73,0.87,191,0.55,0,0
Water Resources,Karnataka,Dakshina Kannada,9.91,34,0.81,0.29,0,0.38,0.83,0.55,0.93,0.58,126,0.36,0,0
Railways,Uttar Pradesh,Kanpur,47.46,65,0.57,0.32,0,0.71,0.32,0.62,0.39,0.74,151,0.24,0,0
Railways,Maharashtra,Aurangabad,15.73,29,0.94,0.85,1,0.56,0.38,0.52,0.06,0.8,181,0.29,1,254
Urban Infrastructure,Bihar,Patna,17.82,35,0.71,0.73,0,0.89,0.14,0.14,0.52,0.85,111,0.08,0,0
Industrial Corridors,Bihar,Darbhanga,38.79,41,0.17,0.58,0,0.14,0.47,0.41,0.16,0.59,159,0.48,0,0
Urban Infrastructure,Rajasthan,Udaipur,36.0,19,0.44,0.91,0,0.68,0.87,0.16,0.66,0.91,150,0.37,0,0
Railways,Rajasthan,Kota,24.0,24,0.54,0.22,0,0.53,0.44,0.21,0.5,0.67,181,0.6,1,272
Railways,Uttar Pradesh,Gorakhpur,22.12,36,0.81,0.47,0,0.24,0.92,0.18,0.73,0.31,155,0.33,1,201
Mining,Uttar Pradesh,Varanasi,27.1,52,0.72,0.84,0,0.77,0.88,0.24,0.31,0.66,97,0.55,0,0
Railways,Maharashtra,Pune,17.73,30,0.41,0.69,0,0.47,0.16,0.83,0.8,0.42,157,0.16,1,189
